Symbol,Ticker_NS,Base_Profit_Row,Base_Year,Sales_2025,Dividend_Payout_%,EPS_TTM,Operating_Profit_Base,Operating_Profit_2025,Tax_%,Interest,Market_Cap,Shares,Cost_of_Equity,CAGR,PE,PEG,Dividend_Yield,Dividend Yield,EV,EV_to_Capital_Employed,Inverse_Earning_Yield,Book_Value,Intrinsic_Value,Reverse Beta calculation,Current_Price,Beta from Money Control
GRANULES,GRANULES.NS,Operating Profit,2020,4482,7,19.77,526,948,24,103,12579.86,24.26,11.78,0.13,29.02,2.32,0.02,0.4768355023,13865.86,10.58,14.63,153.11,118.47,0.780089153,573.65,
IPCALAB,IPCALAB.NS,Operating Profit,2020,8897,14,30.69,904,1731,30,88,34300.81,25.37,11.11,0.14,42.68,3.08,0.04,0.7293446621,35601.81,26.85,20.57,273.86,170.44,0.6805349183,1309.7,
JBCHEPHARM,JBCHEPHARM.NS,Operating Profit,2020,3918,37,44.02,378,1032,26,12,27049.68,15.65,9.83,0.22,38.9,1.75,0.05,1.424909306,27063.48,908.17,26.22,219.49,85.67,0.4903417533,1712.3,
LAURUSLABS,LAURUSLABS.NS,Operating Profit,2020,5554,18,9.43,565,1055,27,216,47218.48,53.98,12.92,0.13,103.44,7.78,0.02,0.3606694298,49912.48,17.81,47.31,82.86,103.5,0.9494799406,975.4,
LUPIN,LUPIN.NS,Operating Profit,2020,22708,17,81.04,2355,5278,18,295,89117.37,45.68,11.91,0.18,24.48,1.4,0.04,0.9901348029,94193.37,18.23,17.85,376.64,398.69,0.7994056464,1983.8,
MANKIND,MANKIND.NS,Operating Profit,2020,12207,Not paid in '25,46.35,1438,3026,20,432,105621.41,41.27,9.02,0.16,51.77,3.23,0,#VALUE!,114104.41,13.39,37.71,347.25,326.45,0.3699851412,2399.5,
NATCOPHARM,NATCOPHARM.NS,Operating Profit,2020,4430,6,94.78,583,2196,18,24,15618.38,17.91,12.25,0.3,8.77,0.29,0.02,0.8847605435,15891.38,51.43,7.24,424.71,174.01,0.8499257058,831.5,
SUNPHARMA,SUNPHARMA.NS,Operating Profit,2020,52578,35,43.23,6983,15114,20,231,378783.01,239.93,12.32,0.17,39.47,2.36,0.04,1.292058168,380653.01,180.4,25.19,300.99,1145.97,0.8603268945,1706.4,
TORNTPHARM,TORNTPHARM.NS,Operating Profit,2020,11516,57,59.15,2170,3721,28,252,122061.63,33.84,11.31,0.11,61.34,5.39,0.05,1.727432088,125087.63,39.15,33.62,224.27,243.33,0.7102526003,3628.3,
ZYDUSLIFE,ZYDUSLIFE.NS,Operating Profit,2020,23242,24,45.45,2798,7058,23,166,101448.51,100.62,10.64,0.2,21.59,1.06,0.06,1.716000621,104618.51,31.98,14.82,238.05,709.74,0.6106983655,981.05,
